Latitude,Longitude,Name,Address
-118.071764,33.781949,"Target - Seal Beach,","12300 Seal Beach Blvd,Seal Beach,CA,90740 ,#1328,(562) 596-9887"
-118.165656,33.948179,"Target - South Gate,","5700 Firestone Blvd,South Gate,CA,90280 ,#0190,(562) 806-2911"
-118.063229,33.847102,"Target - Cerritos,","20200 Bloomfield Ave,Cerritos,CA,90703 ,#0289,(562) 860-9909"
-118.138121,33.853646,"Target - Lakewood Center Mall,","141 Lakewood Center Mall,Lakewood,CA,90712 ,#1409,(562) 894-0019"
-118.046708,33.938621,"Target - Santa Fe Springs,","10621 Carmenita Rd,Santa Fe Springs,CA,90670 ,#0227,(562) 946-0851"
-118.085613,34.001889,"Target - Pico Rivera,","8800 Whittier Blvd,Pico Rivera,CA,90660 ,#1425,(562) 949-6200"
-89.581589,37.299797,"Target - Cape Girardeau,","202 Siemens Dr,Cape Girardeau,MO,63701 ,#0992,(573) 339-1778"
-112.046463,33.507828,"Target - Phoenix Uptown Camelback,","1625 E camelback Rd,Phoenix,AZ,85016 ,#3261,(602) 603-7581"
-76.485891,42.483755,"Target - Lansing,","40 Catherwood Rd,Ithaca,NY,14850 ,#1508,(607) 257-3387"
-75.408797,40.045416,"Target - Devon,","704 W Lancaster Ave,Wayne,PA,19087 ,#3310,(610) 263-4744"
-75.291623,40.102702,"Target - Plymouth Meeting,","2250 Chemical Rd,Plymouth Meeting,PA,19462 ,#1269,(610) 276-0042"
-85.616918,42.844861,"Target - Grand Rapids South,","1925 Market Place Dr SE,Caledonia,MI,49316 ,#2015,(616) 698-1026"
-71.118482,42.388446,"Target - Cambridge Porter Square,","822 Somerville Ave,Cambridge,MA,02140 ,#3304,(617) 702-1786"
-72.102646,42.364574,"Target - Cambridge Central Sq,","564 Massachusetts Ave,Cambridge,MA,02139 ,#3222,(617) 914-8262"
-116.966531,32.650746,"Target - Chula Vista East,","910 Eastlake Pkwy,Chula Vista,CA,91914 ,#1815,(619) 213-1010"
-117.211565,32.753465,"Target - Sports Arena,","3245 Sports Arena Blvd,San Diego,CA,92110 ,#0201,(619) 223-2491"
-117.010811,32.713264,"Target - Spring Valley,","935 Sweetwater Rd,Spring Valley,CA,91977 ,#3319,(619) 415-0294"
-117.079483,32.604985,"Target - Chula Vista Broadway,","1240 Broadway,Chula Vista,CA,91911 ,#0203,(619) 425-3850"
-116.960281,32.807926,"Target - El Cajon,","250 Broadway,El Cajon,CA,92021 ,#0304,(619) 442-9641"
-116.983473,32.841007,"Target - Santee,","9846 Mission Gorge Rd,Santee,CA,92071 ,#1485,(619) 449-9790"
-117.009645,32.779672,"Target - Grossmont,","5500 Grossmont Ctr Dr,La Mesa,CA,91942 ,#0997,(619) 461-1960"
-117.052485,32.743386,"Target - Lemon Grove,","3424 College Ave,San Diego,CA,92115 ,#1846,(619) 471-0025"
-117.150075,32.769757,"Target - San Diego Mission Valley,","1288 Camino Del Rio N,San Diego,CA,92108 ,#1410,(619) 542-0025"
-116.938639,32.740627,"Target - Rancho San Diego,","2911 Jamacha Rd,El Cajon,CA,92019 ,#1140,(619) 660-2948"
-117.129465,32.727007,"Target - San Diego South Park,","3030 Grape St,San Diego,CA,92102 ,#3205,(619) 684-7086"
-117.068288,32.656505,"Target - National City Plza Bonita,","3060 Plaza Bonita Rd,National City,CA,91950 ,#2232,(619) 791-2749"
-117.248489,32.745644,"Target - Ocean Beach,","4864 Newport Ave,San Diego,CA,92107 ,#3303,(619) 881-1380"
-117.129475,32.747855,"Target - San Diego North Park,","3029 University Ave,San Diego,CA,92104 ,#3302,(619) 881-3036"
-118.071553,34.075467,"Target - Rosemead,","3600 Rosemead Blvd,Rosemead,CA,91770 ,#1411,(626) 280-8024"
-117.983336,34.139422,"Target - Duarte,","1050 Huntington Dr,Duarte,CA,91010 ,#0302,(626) 303-8858"
-118.146381,34.090474,"Target - Alhambra,","2120 W Main St,Alhambra,CA,91801 ,#0184,(626) 308-3290"
-118.134158,34.147622,"Target - Pasadena,","777 E Colorado Blvd,Pasadena,CA,91101 ,#0883,(626) 584-1606"
-118.085824,34.146351,"Target - Pasadena East,","3121 E Colorado Blvd,Pasadena,CA,91107 ,#1332,(626) 584-2931"
-117.907623,34.136518,"Target - Azusa,","809 N Azusa Ave,Azusa,CA,91702 ,#2627,(626) 629-1121"
-117.912882,34.034647,"Target - West Covina South,","2370 S Azusa Ave,West Covina,CA,91792 ,#2147,(626) 667-5400"
-117.979581,34.069441,"Target - Baldwin Park,","3100 Baldwin Park Blvd,Baldwin Park,CA,91706 ,#1033,(626) 851-9404"
-117.883436,34.073074,"Target - West Covina,","2831 E Eastland Ctr Dr,West Covina,CA,91791 ,#1028,(626) 859-0221"
-117.919345,33.990381,"Target - Puente Hills,","17751 Colima Rd,Rowland Heights,CA,91748 ,#0222,(626) 913-2880"
-122.415239,37.769074,"Target - San Francisco Folsom,","1690 Folsom St,San Francisco,CA,94103 ,#3297,(628) 263-3723"
-122.284485,37.559617,"Target - San Mateo Fashion Island,","2220 Bridgepointe Pkwy,San Mateo,CA,94404 ,#1122,(650) 341-0734"
-122.217958,37.473986,"Target - Redwood City,","2485 El Camino Real,Redwood City,CA,94063 ,#0321,(650) 363-8940"
-122.137398,37.45895,Target - East Palo Alto,"1775 E Bayshore Rd,East Palo Alto,CA,94303 ,#3265,(650) 388-7949"
-122.470983,37.669346,"Target - Daly City Serramonte,","133 Serramonte Ctr,Daly City,CA,94015 ,#1407,(650) 755-2393"
-122.419969,37.635302,"Target - Tanforan,","1150 El Camino Real,San Bruno,CA,94066 ,#1054,(650) 827-0171"
-122.107344,37.401021,"Target - Mountain View,","555 Showers Dr,Mountain View,CA,94040 ,#0322,(650) 965-7764"
-122.465718,37.672623,"Target - Colma,","5001 Junipero Serra Blvd,Colma,CA,94014 ,#0320,(650) 992-8433"
-117.884277,33.839123,"Target - Anaheim East,","2222 E Lincoln Ave,Anaheim,CA,92806 ,#3274,(657) 276-3773"
-118.560543,34.419337,"Target - Valencia,","24425 Magic Mountain Pkwy,Valencia,CA,91355 ,#0257,(661) 254-8001"
-118.147468,34.599289,"Target - Palmdale,","39440 10th St W,Palmdale,CA,93551 ,#0685,(661) 265-0906"
-119.104461,35.383636,"Target - Bakersfield NW,","9100 Rosedale Hwy,Bakersfield,CA,93312 ,#1384,(661) 589-0554"
-119.037185,35.339231,"Target - Bakersfield Central,","2901 Ming Ave,Bakersfield,CA,93304 ,#2524,(661) 617-2000"
-119.121527,35.350027,"Target - Bakersfield West,","11000 Stockdale Hwy,Bakersfield,CA,93311 ,#2715,(661) 617-3657"
-118.955559,35.394727,"Target - Bakersfield NE,","3401 Mall View Rd,Bakersfield,CA,93306 ,#0614,(661) 872-9929"
